 human_inf_a_1: "£unit_1£ Human Archer"
 human_inf_a_1DESCR: ""
 human_inf_b_1: "£unit_1£ Human Warrior"
 human_inf_b_1DESCR: ""
 human_inf_c_1: "£unit_1£ Human Spellcaster"
 human_inf_c_1DESCR: ""
 human_cav_a_1: "£unit_1£ Human Light Cavalry"
 human_cav_a_1DESCR: ""
 human_cav_b_1: "£unit_1£ Human Heavy Cavalry"
 human_cav_b_1DESCR: ""
 human_art_a_1: "£unit_1£ Human Catapult"
 human_art_a_1DESCR: ""
 human_art_b_1: "£unit_1£ Human Trebuchet"
 human_art_b_1DESCR: ""
 human_inf_a_2: "£unit_2£ Human Archer"
 human_inf_a_2DESCR: ""
 human_inf_b_2: "£unit_2£ Human Warrior"
 human_inf_b_2DESCR: ""
 human_inf_c_2: "£unit_2£ Human Spellcaster"
 human_inf_c_2DESCR: ""
 human_cav_a_2: "£unit_2£ Human Light Cavalry"
 human_cav_a_2DESCR: ""
 human_cav_b_2: "£unit_2£ Human Heavy Cavalry"
 human_cav_b_2DESCR: ""
 human_art_a_2: "£unit_2£ Human Catapult"
 human_art_a_2DESCR: ""
 human_art_b_2: "£unit_2£ Human Trebuchet"
 human_art_b_2DESCR: ""
 human_inf_a_3: "£unit_3£ Human Archer"
 human_inf_a_3DESCR: ""
 human_inf_b_3: "£unit_3£ Human Warrior"
 human_inf_b_3DESCR: ""
 human_inf_c_3: "£unit_3£ Human Spellcaster"
 human_inf_c_3DESCR: ""
 human_cav_a_3: "£unit_3£ Human Light Cavalry"
 human_cav_a_3DESCR: ""
 human_cav_b_3: "£unit_3£ Human Heavy Cavalry"
 human_cav_b_3DESCR: ""
 human_art_a_3: "£unit_3£ Human Catapult"
 human_art_a_3DESCR: ""
 human_art_b_3: "£unit_3£ Human Trebuchet"
 human_art_b_3DESCR: ""
 human_inf_a_4: "£unit_4£ Human Archer"
 human_inf_a_4DESCR: ""
 human_inf_b_4: "£unit_4£ Human Warrior"
 human_inf_b_4DESCR: ""
 human_inf_c_4: "£unit_4£ Human Spellcaster"
 human_inf_c_4DESCR: ""
 human_cav_a_4: "£unit_4£ Human Light Cavalry"
 human_cav_a_4DESCR: ""
 human_cav_b_4: "£unit_4£ Human Heavy Cavalry"
 human_cav_b_4DESCR: ""
 human_art_a_4: "£unit_4£ Human Catapult"
 human_art_a_4DESCR: ""
 human_art_b_4: "£unit_4£ Human Trebuchet"
 human_art_b_4DESCR: ""
 human_inf_a_5: "£unit_5£ Human Archer"
 human_inf_a_5DESCR: ""
 human_inf_b_5: "£unit_5£ Human Warrior"
 human_inf_b_5DESCR: ""
 human_inf_c_5: "£unit_5£ Human Spellcaster"
 human_inf_c_5DESCR: ""
 human_cav_a_5: "£unit_5£ Human Light Cavalry"
 human_cav_a_5DESCR: ""
 human_cav_b_5: "£unit_5£ Human Heavy Cavalry"
 human_cav_b_5DESCR: ""
 human_art_a_5: "£unit_5£ Human Catapult"
 human_art_a_5DESCR: ""
 human_art_b_5: "£unit_5£ Human Trebuchet"
 human_art_b_5DESCR: ""

 qiraji_inf_a_1: "£unit_1£ Qiraji Archer"
 qiraji_inf_a_1DESCR: ""
 qiraji_inf_b_1: "£unit_1£ Qiraji Warrior"
 qiraji_inf_b_1DESCR: ""
 qiraji_inf_c_1: "£unit_1£ Qiraji Spellcaster"
 qiraji_inf_c_1DESCR: ""
 qiraji_cav_a_1: "£unit_1£ Qiraji Light Cavalry"
 qiraji_cav_a_1DESCR: ""
 qiraji_cav_b_1: "£unit_1£ Qiraji Heavy Cavalry"
 qiraji_cav_b_1DESCR: ""
 qiraji_art_a_1: "£unit_1£ Qiraji Catapult"
 qiraji_art_a_1DESCR: ""
 qiraji_art_b_1: "£unit_1£ Qiraji Trebuchet"
 qiraji_art_b_1DESCR: ""
 qiraji_inf_a_2: "£unit_2£ Qiraji Archer"
 qiraji_inf_a_2DESCR: ""
 qiraji_inf_b_2: "£unit_2£ Qiraji Warrior"
 qiraji_inf_b_2DESCR: ""
 qiraji_inf_c_2: "£unit_2£ Qiraji Spellcaster"
 qiraji_inf_c_2DESCR: ""
 qiraji_cav_a_2: "£unit_2£ Qiraji Light Cavalry"
 qiraji_cav_a_2DESCR: ""
 qiraji_cav_b_2: "£unit_2£ Qiraji Heavy Cavalry"
 qiraji_cav_b_2DESCR: ""
 qiraji_art_a_2: "£unit_2£ Qiraji Catapult"
 qiraji_art_a_2DESCR: ""
 qiraji_art_b_2: "£unit_2£ Qiraji Trebuchet"
 qiraji_art_b_2DESCR: ""
 qiraji_inf_a_3: "£unit_3£ Qiraji Archer"
 qiraji_inf_a_3DESCR: ""
 qiraji_inf_b_3: "£unit_3£ Qiraji Warrior"
 qiraji_inf_b_3DESCR: ""
 qiraji_inf_c_3: "£unit_3£ Qiraji Spellcaster"
 qiraji_inf_c_3DESCR: ""
 qiraji_cav_a_3: "£unit_3£ Qiraji Light Cavalry"
 qiraji_cav_a_3DESCR: ""
 qiraji_cav_b_3: "£unit_3£ Qiraji Heavy Cavalry"
 qiraji_cav_b_3DESCR: ""
 qiraji_art_a_3: "£unit_3£ Qiraji Catapult"
 qiraji_art_a_3DESCR: ""
 qiraji_art_b_3: "£unit_3£ Qiraji Trebuchet"
 qiraji_art_b_3DESCR: ""
 qiraji_inf_a_4: "£unit_4£ Qiraji Archer"
 qiraji_inf_a_4DESCR: ""
 qiraji_inf_b_4: "£unit_4£ Qiraji Warrior"
 qiraji_inf_b_4DESCR: ""
 qiraji_inf_c_4: "£unit_4£ Qiraji Spellcaster"
 qiraji_inf_c_4DESCR: ""
 qiraji_cav_a_4: "£unit_4£ Qiraji Light Cavalry"
 qiraji_cav_a_4DESCR: ""
 qiraji_cav_b_4: "£unit_4£ Qiraji Heavy Cavalry"
 qiraji_cav_b_4DESCR: ""
 qiraji_art_a_4: "£unit_4£ Qiraji Catapult"
 qiraji_art_a_4DESCR: ""
 qiraji_art_b_4: "£unit_4£ Qiraji Trebuchet"
 qiraji_art_b_4DESCR: ""
 qiraji_inf_a_5: "£unit_5£ Qiraji Archer"
 qiraji_inf_a_5DESCR: ""
 qiraji_inf_b_5: "£unit_5£ Qiraji Warrior"
 qiraji_inf_b_5DESCR: ""
 qiraji_inf_c_5: "£unit_5£ Qiraji Spellcaster"
 qiraji_inf_c_5DESCR: ""
 qiraji_cav_a_5: "£unit_5£ Qiraji Light Cavalry"
 qiraji_cav_a_5DESCR: ""
 qiraji_cav_b_5: "£unit_5£ Qiraji Heavy Cavalry"
 qiraji_cav_b_5DESCR: ""
 qiraji_art_a_5: "£unit_5£ Qiraji Catapult"
 qiraji_art_a_5DESCR: ""
 qiraji_art_b_5: "£unit_5£ Qiraji Trebuchet"
 qiraji_art_b_5DESCR: ""

 nerubian_inf_a_1: "£unit_1£ Nerubian Archer"
 nerubian_inf_a_1DESCR: ""
 nerubian_inf_b_1: "£unit_1£ Nerubian Warrior"
 nerubian_inf_b_1DESCR: ""
 nerubian_inf_c_1: "£unit_1£ Nerubian Spellcaster"
 nerubian_inf_c_1DESCR: ""
 nerubian_cav_a_1: "£unit_1£ Nerubian Light Cavalry"
 nerubian_cav_a_1DESCR: ""
 nerubian_cav_b_1: "£unit_1£ Nerubian Heavy Cavalry"
 nerubian_cav_b_1DESCR: ""
 nerubian_art_a_1: "£unit_1£ Nerubian Catapult"
 nerubian_art_a_1DESCR: ""
 nerubian_art_b_1: "£unit_1£ Nerubian Trebuchet"
 nerubian_art_b_1DESCR: ""
 nerubian_inf_a_2: "£unit_2£ Nerubian Archer"
 nerubian_inf_a_2DESCR: ""
 nerubian_inf_b_2: "£unit_2£ Nerubian Warrior"
 nerubian_inf_b_2DESCR: ""
 nerubian_inf_c_2: "£unit_2£ Nerubian Spellcaster"
 nerubian_inf_c_2DESCR: ""
 nerubian_cav_a_2: "£unit_2£ Nerubian Light Cavalry"
 nerubian_cav_a_2DESCR: ""
 nerubian_cav_b_2: "£unit_2£ Nerubian Heavy Cavalry"
 nerubian_cav_b_2DESCR: ""
 nerubian_art_a_2: "£unit_2£ Nerubian Catapult"
 nerubian_art_a_2DESCR: ""
 nerubian_art_b_2: "£unit_2£ Nerubian Trebuchet"
 nerubian_art_b_2DESCR: ""
 nerubian_inf_a_3: "£unit_3£ Nerubian Archer"
 nerubian_inf_a_3DESCR: ""
 nerubian_inf_b_3: "£unit_3£ Nerubian Warrior"
 nerubian_inf_b_3DESCR: ""
 nerubian_inf_c_3: "£unit_3£ Nerubian Spellcaster"
 nerubian_inf_c_3DESCR: ""
 nerubian_cav_a_3: "£unit_3£ Nerubian Light Cavalry"
 nerubian_cav_a_3DESCR: ""
 nerubian_cav_b_3: "£unit_3£ Nerubian Heavy Cavalry"
 nerubian_cav_b_3DESCR: ""
 nerubian_art_a_3: "£unit_3£ Nerubian Catapult"
 nerubian_art_a_3DESCR: ""
 nerubian_art_b_3: "£unit_3£ Nerubian Trebuchet"
 nerubian_art_b_3DESCR: ""
 nerubian_inf_a_4: "£unit_4£ Nerubian Archer"
 nerubian_inf_a_4DESCR: ""
 nerubian_inf_b_4: "£unit_4£ Nerubian Warrior"
 nerubian_inf_b_4DESCR: ""
 nerubian_inf_c_4: "£unit_4£ Nerubian Spellcaster"
 nerubian_inf_c_4DESCR: ""
 nerubian_cav_a_4: "£unit_4£ Nerubian Light Cavalry"
 nerubian_cav_a_4DESCR: ""
 nerubian_cav_b_4: "£unit_4£ Nerubian Heavy Cavalry"
 nerubian_cav_b_4DESCR: ""
 nerubian_art_a_4: "£unit_4£ Nerubian Catapult"
 nerubian_art_a_4DESCR: ""
 nerubian_art_b_4: "£unit_4£ Nerubian Trebuchet"
 nerubian_art_b_4DESCR: ""
 nerubian_inf_a_5: "£unit_5£ Nerubian Archer"
 nerubian_inf_a_5DESCR: ""
 nerubian_inf_b_5: "£unit_5£ Nerubian Warrior"
 nerubian_inf_b_5DESCR: ""
 nerubian_inf_c_5: "£unit_5£ Nerubian Spellcaster"
 nerubian_inf_c_5DESCR: ""
 nerubian_cav_a_5: "£unit_5£ Nerubian Light Cavalry"
 nerubian_cav_a_5DESCR: ""
 nerubian_cav_b_5: "£unit_5£ Nerubian Heavy Cavalry"
 nerubian_cav_b_5DESCR: ""
 nerubian_art_a_5: "£unit_5£ Nerubian Catapult"
 nerubian_art_a_5DESCR: ""
 nerubian_art_b_5: "£unit_5£ Nerubian Trebuchet"
 nerubian_art_b_5DESCR: ""

 mantid_inf_a_1: "£unit_1£ Mantid Archer"
 mantid_inf_a_1DESCR: ""
 mantid_inf_b_1: "£unit_1£ Mantid Warrior"
 mantid_inf_b_1DESCR: ""
 mantid_inf_c_1: "£unit_1£ Mantid Spellcaster"
 mantid_inf_c_1DESCR: ""
 mantid_cav_a_1: "£unit_1£ Mantid Light Cavalry"
 mantid_cav_a_1DESCR: ""
 mantid_cav_b_1: "£unit_1£ Mantid Heavy Cavalry"
 mantid_cav_b_1DESCR: ""
 mantid_art_a_1: "£unit_1£ Mantid Catapult"
 mantid_art_a_1DESCR: ""
 mantid_art_b_1: "£unit_1£ Mantid Trebuchet"
 mantid_art_b_1DESCR: ""
 mantid_inf_a_2: "£unit_2£ Mantid Archer"
 mantid_inf_a_2DESCR: ""
 mantid_inf_b_2: "£unit_2£ Mantid Warrior"
 mantid_inf_b_2DESCR: ""
 mantid_inf_c_2: "£unit_2£ Mantid Spellcaster"
 mantid_inf_c_2DESCR: ""
 mantid_cav_a_2: "£unit_2£ Mantid Light Cavalry"
 mantid_cav_a_2DESCR: ""
 mantid_cav_b_2: "£unit_2£ Mantid Heavy Cavalry"
 mantid_cav_b_2DESCR: ""
 mantid_art_a_2: "£unit_2£ Mantid Catapult"
 mantid_art_a_2DESCR: ""
 mantid_art_b_2: "£unit_2£ Mantid Trebuchet"
 mantid_art_b_2DESCR: ""
 mantid_inf_a_3: "£unit_3£ Mantid Archer"
 mantid_inf_a_3DESCR: ""
 mantid_inf_b_3: "£unit_3£ Mantid Warrior"
 mantid_inf_b_3DESCR: ""
 mantid_inf_c_3: "£unit_3£ Mantid Spellcaster"
 mantid_inf_c_3DESCR: ""
 mantid_cav_a_3: "£unit_3£ Mantid Light Cavalry"
 mantid_cav_a_3DESCR: ""
 mantid_cav_b_3: "£unit_3£ Mantid Heavy Cavalry"
 mantid_cav_b_3DESCR: ""
 mantid_art_a_3: "£unit_3£ Mantid Catapult"
 mantid_art_a_3DESCR: ""
 mantid_art_b_3: "£unit_3£ Mantid Trebuchet"
 mantid_art_b_3DESCR: ""
 mantid_inf_a_4: "£unit_4£ Mantid Archer"
 mantid_inf_a_4DESCR: ""
 mantid_inf_b_4: "£unit_4£ Mantid Warrior"
 mantid_inf_b_4DESCR: ""
 mantid_inf_c_4: "£unit_4£ Mantid Spellcaster"
 mantid_inf_c_4DESCR: ""
