ADS,Azure Dragonshrine
AER,Aerie Peak
ALT,Alterac
AMA,Amani
ANO,Andorhal
AQJ,Ahn'Qiraj
ASH,Ashtotem
ATL,Atalai
AXX,Axxarian
AZJ,Azjol'Nerub
AZW,Azurewing
BAT,Bataari
BBC,Burning Blade
BDH,Bloodhoof
BFY,Bloodfury
BIL,Bilgewater Cartel
BIS,Bristleback
BKF,Blackwood
BKM,Blackmane
BLH,Bleeding Hollow
BLK,Blackrock
BLO,Bloodsail
BLP,Bloodpaw
BLS,Bloodscalp
BLU,Bluegill
BMB,Bristlelimb
BMW,Blackmaw
BOC,Bloodcursed
BOH,Bloodtooth
BOT,Bloodtotem
BOU,Boulderfist
BOX,Niuzao
BPC,Blackpaw
BTG,Black Tooth Grin
BUR,Burilgi
BWA,Blackwater Cartel
CEN,Moonglade
CEX,Cenarion Expedition
CFW,Cliffwalker
CHI,Chillmere
COL,Coldwind
CRS,Crushridge
CST,Cloudsong
DAK,Drakkari
DAL,Dalaran
DAR,Darkshire
DAS,Darnassus
DBR,Dustbelcher
DDW,Deadwood
DGF,Dragonflayer
DGM,Dragonmaw
DGS,Daggerspine
DKI,Dark Iron
DKM,Darkmane
DOJ,Dojani
DRB,Dream Bough
DRD,Dreadmaul
DSN,Drysnout
DST,Dawnstrider
DTK,Deadtalker
DUM,Dunemaul
DUS,Dustwind
DWO,Deadwind
EDS,Emerald Dragonshrine
EGL,Eagletalon
EXO,Exodar
EYE,Eye of Azshara
FAT,Blackfathom
FOR,The Forsaken
FRG,Firegut
FRO,Frostborn
FRR,Firetree
FSM,Frostmane
FTP,Frostpaw
FWD,Foulweald
FZY,Frenzyheart
GAI,Gai-Cho
GAL,Galak
GAM,Garm
GEL,Gelkis
GIL,Gilneas
GLI,Glintrok
GMB,Grim Batol
GMT,Grimtotem
GNO,Gnomeregan
GOM,Gormali
GOR,Gordunni
GRI,Grimtail
GRO,Grookin
GRV,Gravelsnout
GRZ,Grizzleweald
GUR,Gurubashi
HAL,Haldarr
HMT,Highmountain
HTC,Hatecrest
HWG,Howling
HYL,Hyldnir
ICE,Icemist
IRH,Ironhorn
IRO,Khaz Modan
JAD,Jadefire
JAS,Yu'lon
JEL,Jellyneck
JOT,Jotunheim
KAL,Kal'uak
KAZ,Karazhan
KOL,Kolkar
KUL,Kul Tiras
LEG,Legashi
LIF,Lifewarders
LOR,Lordaeron
LSO,Lost Ones
MAG,Magmoth
MAN,Mantid Empire
MIS,Mistrunner
MOA,Moa'ki
MOG,Mo'grosh
MOH,Mogu-shan
MOS,Mosshide
MRA,Magram
MSO,Mosh'Ogg
MSW,Mistwhisper
MTD,Mistblade
MUD,Mudstout
MUR,Mauraudien
MWK,Mosswalker
NAZ,Nazzivus
NEF,Neferset
NEX,The Nexus
NTB,Suramar
ODS,Obsidian Dragonshrine
OOG,Oogah
OON,Oona
ORD,Ordo
ORG,The Horde
ORS,Orsis
OSU,Osul
PAL,Palemane
PAW,Palewind
PEA,Pearlfin
POR,Portal Seekers
PRF,Prepfoot
QUE,Quel'Thalas
RAF,Razorfen
RAI,Rainspeaker
RAM,Ramkahen
RAZ,Razormane
RCR,Chi'ji
RDF,Redfang
RED,Redridge
REG,Redgill
REP,Redpine
RET,Runetotem
RGC,Rageclaw
RIK,Rikkitun
RIP,Riplash
ROC,Rockpool
ROT,Rot Hide
RRP,Redridge Pack
RUQ,Ruqin
RVE,Riverblade
RVM,Rivermane
RVP,Riverpaw
RVT,Revantusk
SAL,Saltscale
SAN,Sandfury
SAZ,Shan'ze
SCO,The Scourge
SDW,Shadowhide
SEN,Sentinels of Hyjal
SER,Seradane
SGL,Stonegullet
SHO,Shao-tein
SHZ,Strashaz
SIF,Siltfin
SKA,Skadir
SKC,Skychaser
SKH,Skyhorn
SKS,Skullsplitter
SKY,Skyseer
SLB,Sliterblade
SLD,Smolderthorn
SMC,Stormscale
SMG,Stromgarde
SMW,Steamwheedle Cartel
SNF,Snowfall
SOT,Stonehoof
SOU,Southshore
SOW,Sisterhood of Winter
SPF,Stone Fist
SPK,Sparktouched
SPL,Spitelash
SPN,Shado-pan
SPR,Stonespire
SRC,Stormreaver
SRW,Stormwind
STH,Stormheim
STM,Stonemaul
STP,Stillpine
STR,Stratholme
STS,Shatterspear
SVH,Savage Hill
SVT,Stonevault
SWN,Shadowglen
SWP,Shadowpine
TBC,Torchbelcher
THS,Thistlefur
TIG,Xu'en
TIL,Tillers
TIM,Timbermaw
TMN,Thor Modan
TOL,Tol Barad
TTH,The Orcish Horde
TWG,Twilight Grove
TWH,Twilight's Hammer
ULD,Ulduar
ULM,Uldaman
UNB,The Unbound
VAL,Val'sharah
VIL,Vilefin
VLB,Vilebranch
VTC,Venture Company
WDP,Wildspawn
WES,Westfall
WFY,Windfury
WHE,Wheathoof
WHI,Whitehoof
WIL,Wildhammer
WIM,Wildmane
WIR,Wildrunner
WIS,Windshear
WIT,Windtotem
WIW,Witchwing
WOO,Woodpaw
WRF,Winterfin
WRS,Wrathscale
WRT,Wrathtail
WTA,Winterfall
WTF,Winterfang
WTG,Wintergale
WTH,Winterhoof
WTO,Winterskorn
WTR,Witherbark
WTX,Winterax
WYB,Wyrmbog
WYT,Wyrmrest Temple
XAV,Xavian
YMI,Ymirjar
YON,Yongqi
YOU,Younghoof
ZDL,Zandalar
SEA,Sentinels of Ashenvale
SDS,Sentinels of Auberdine
SFR,Sentinels of Feathermoon
