 artifact_icon_elemental_lairat: "£elemental_lairat_icon£"
 artifact_icon_onyx_annulet: "£onyx_annulet_icon£"
 artifact_icon_spark_of_ingenuity: "£spark_of_ingenuity_icon£"
 artifact_icon_awakmani: "£awakmani_icon£"
 artifact_icon_kharnalex: "£kharnalex_icon£"
 artifact_icon_pashmars_finial: "£pashmars_finial_icon£"
 artifact_icon_anu_azshara: "£anu_azshara_icon£"
 artifact_icon_scepter_of_the_azshari: "£scepter_of_the_azshari_icon£"
 artifact_icon_arcane_phial: "£arcane_phial_icon£"
 artifact_icon_vision_of_demise: "£vision_of_demise_icon£"
 artifact_icon_pearl_of_pandaria: "£pearl_of_pandaria_icon£"

 artifact_name_elemental_lairat: "Elemental Lairat"
 artifact_name_onyx_annulet: "Onyx Annulet"
 artifact_name_spark_of_ingenuity: "Spark of Ingenuity"
 artifact_name_awakmani: "Awak'mani, Grimtotem's Legacy"
 artifact_name_kharnalex: "Kharnalex, The First Light"
 artifact_name_pashmars_finial: "Pashmar's Finial"
 artifact_name_anu_azshara: "Anu-Azshara, Staff of the Eternal"
 artifact_name_scepter_of_the_azshari: "Scepter of the Azsh'ari"
 artifact_name_arcane_phial: "Phial of the Arcane Tempest"
 artifact_name_vision_of_demise: "Vision of Demise"
 artifact_name_pearl_of_pandaria: "Pearl of Pandaria"

 UNLOCK_ARTIFACT_elemental_lairat: "You have gained the artifact §YElemental Lairat§!"
 UNLOCK_ARTIFACT_onyx_annulet: "You have gained the artifact §YOnyx Annulet§!"
 UNLOCK_ARTIFACT_spark_of_ingenuity: "You have gained the artifact §YSpark of Ingenuity§!"
 UNLOCK_ARTIFACT_awakmani: "You have gained the artifact §YAwak'mani, Grimtotem's Legacy§!"
 UNLOCK_ARTIFACT_kharnalex: "You have gained the artifact §YKharnalex, The First Light§!"
 UNLOCK_ARTIFACT_pashmars_finial: "You have gained the artifact §YPashmar's Finial§!"
 UNLOCK_ARTIFACT_anu_azshara: "You have gained the artifact §YAnu-Azshara, Staff of the Eternal§!"
 UNLOCK_ARTIFACT_scepter_of_the_azshari: "You have gained the artifact §YScepter of the Azsh'ari§!"
 UNLOCK_ARTIFACT_arcane_phial: "You have gained the artifact §YPhial of the Arcane Tempest§!"
 UNLOCK_ARTIFACT_vision_of_demise: "You have gained the artifact §YVision of Demise§!"
 UNLOCK_ARTIFACT_pearl_of_pandaria: "You have gained the artifact §YPearl of Pandaria§!"

 MAKE_PRIMARY_ARTIFACT_elemental_lairat: "Make your primary artifact §YElemental Lairat§!"
 MAKE_PRIMARY_ARTIFACT_onyx_annulet: "Make your primary artifact §YOnyx Annulet§!"
 MAKE_PRIMARY_ARTIFACT_spark_of_ingenuity: "Make your primary artifact §YSpark of Ingenuity§!"
 MAKE_PRIMARY_ARTIFACT_awakmani: "Make your primary artifact §YAwak'mani, Grimtotem's Legacy§!"
 MAKE_PRIMARY_ARTIFACT_kharnalex: "Make your primary artifact §YKharnalex, The First Light§!"
 MAKE_PRIMARY_ARTIFACT_pashmars_finial: "Make your primary artifact §YPashmar's Finial§!"
 MAKE_PRIMARY_ARTIFACT_anu_azshara: "Make your primary artifact §YAnu-Azshara, Staff of the Eternal§!"
 MAKE_PRIMARY_ARTIFACT_scepter_of_the_azshari: "Make your primary artifact §YScepter of the Azsh'ari§!"
 MAKE_PRIMARY_ARTIFACT_arcane_phial: "Make your primary artifact §YPhial of the Arcane Tempest§!"
 MAKE_PRIMARY_ARTIFACT_vision_of_demise: "Make your primary artifact §YVision of Demise§!"
 MAKE_PRIMARY_ARTIFACT_pearl_of_pandaria: "Make your primary artifact §YPearl of Pandaria§!"

 IS_PRIMARY_ARTIFACT_elemental_lairat: "§YElemental Lairat§! is primary artifact."
 IS_PRIMARY_ARTIFACT_onyx_annulet: "§YOnyx Annulet§! is primary artifact."
 IS_PRIMARY_ARTIFACT_spark_of_ingenuity: "§YSpark of Ingenuity§! is primary artifact."
 IS_PRIMARY_ARTIFACT_awakmani: "§YAwak'mani, Grimtotem's Legacy§! is primary artifact."
 IS_PRIMARY_ARTIFACT_kharnalex: "§YKharnalex, The First Light§! is primary artifact."
 IS_PRIMARY_ARTIFACT_pashmars_finial: "§YPashmar's Finial§! is primary artifact."
 IS_PRIMARY_ARTIFACT_anu_azshara: "§YAnu-Azshara, Staff of the Eternal§! is primary artifact."
 IS_PRIMARY_ARTIFACT_scepter_of_the_azshari: "§YScepter of the Azsh'ari§! is primary artifact."
 IS_PRIMARY_ARTIFACT_arcane_phial: "§YPhial of the Arcane Tempest§! is primary artifact."
 IS_PRIMARY_ARTIFACT_vision_of_demise: "§YVision of Demise§! is primary artifact."
 IS_PRIMARY_ARTIFACT_pearl_of_pandaria: "§YPearl of Pandaria§! is primary artifact."

 NOT_DISCOVERED_elemental_lairat: "§YElemental Lairat§! has not been discovered yet."
 NOT_DISCOVERED_onyx_annulet: "§YOnyx Annulet§! has not been discovered yet."
 NOT_DISCOVERED_spark_of_ingenuity: "§YSpark of Ingenuity§! has not been discovered yet."
 NOT_DISCOVERED_awakmani: "§YAwak'mani, Grimtotem's Legacy§! has not been discovered yet."
 NOT_DISCOVERED_kharnalex: "§YKharnalex, The First Light§! has not been discovered yet."
 NOT_DISCOVERED_pashmars_finial: "§YPashmar's Finial§! has not been discovered yet."
 NOT_DISCOVERED_anu_azshara: "§YAnu-Azshara, Staff of the Eternal§! has not been discovered yet."
 NOT_DISCOVERED_scepter_of_the_azshari: "§YScepter of the Azsh'ari§! has not been discovered yet."
 NOT_DISCOVERED_arcane_phial: "§YPhial of the Arcane Tempest§! has not been discovered yet."
 NOT_DISCOVERED_vision_of_demise: "§YVision of Demise§! has not been discovered yet."
 NOT_DISCOVERED_pearl_of_pandaria: "§YPearl of Pandaria§! has not been discovered yet."

 STEAL_ARTIFACT_elemental_lairat: "Steal §YElemental Lairat§! from [artifact_heist_target.GetName]."
 STEAL_ARTIFACT_onyx_annulet: "Steal §YOnyx Annulet§! from [artifact_heist_target.GetName]."
 STEAL_ARTIFACT_spark_of_ingenuity: "Steal §YSpark of Ingenuity§! from [artifact_heist_target.GetName]."
 STEAL_ARTIFACT_awakmani: "Steal §YAwak'mani, Grimtotem's Legacy§! from [artifact_heist_target.GetName]."
 STEAL_ARTIFACT_kharnalex: "Steal §YKharnalex, The First Light§! from [artifact_heist_target.GetName]."
 STEAL_ARTIFACT_pashmars_finial: "Steal §YPashmar's Finial§! from [artifact_heist_target.GetName]."
 STEAL_ARTIFACT_anu_azshara: "Steal §YAnu-Azshara, Staff of the Eternal§! from [artifact_heist_target.GetName]."
 STEAL_ARTIFACT_scepter_of_the_azshari: "Steal §YScepter of the Azsh'ari§! from [artifact_heist_target.GetName]."
 STEAL_ARTIFACT_arcane_phial: "Steal §YPhial of the Arcane Tempest§! from [artifact_heist_target.GetName]."
 STEAL_ARTIFACT_vision_of_demise: "Steal §YVision of Demise§! from [artifact_heist_target.GetName]."
 STEAL_ARTIFACT_pearl_of_pandaria: "Steal §YPearl of Pandaria§! from [artifact_heist_target.GetName]."

