 wwu_archaeology.75.title: "Major Discovery: Elemental Lairat"
 wwu_archaeology.75.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£elemental_lairat_icon£\n\n\nLORE HERE"
 wwu_archaeology.75.option.a: "Excellent find!"

 wwu_archaeology.76.title: "Major Discovery: Onyx Annulet"
 wwu_archaeology.76.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£onyx_annulet_icon£\n\n\nLORE HERE"
 wwu_archaeology.76.option.a: "Excellent find!"

 wwu_archaeology.77.title: "Major Discovery: Spark of Ingenuity"
 wwu_archaeology.77.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£spark_of_ingenuity_icon£\n\n\nLORE HERE"
 wwu_archaeology.77.option.a: "Excellent find!"

 wwu_archaeology.78.title: "Major Discovery: Awak'mani, Grimtotem's Legacy"
 wwu_archaeology.78.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£awakmani_icon£\n\n\nLORE HERE"
 wwu_archaeology.78.option.a: "Excellent find!"

 wwu_archaeology.79.title: "Major Discovery: Kharnalex, The First Light"
 wwu_archaeology.79.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£kharnalex_icon£\n\n\nLORE HERE"
 wwu_archaeology.79.option.a: "Excellent find!"

 wwu_archaeology.80.title: "Major Discovery: Pashmar's Finial"
 wwu_archaeology.80.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£pashmars_finial_icon£\n\n\nLORE HERE"
 wwu_archaeology.80.option.a: "Excellent find!"

 wwu_archaeology.81.title: "Major Discovery: Anu-Azshara, Staff of the Eternal"
 wwu_archaeology.81.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£anu_azshara_icon£\n\n\nLORE HERE"
 wwu_archaeology.81.option.a: "Excellent find!"

 wwu_archaeology.82.title: "Major Discovery: Scepter of the Azsh'ari"
 wwu_archaeology.82.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£scepter_of_the_azshari_icon£\n\n\nLORE HERE"
 wwu_archaeology.82.option.a: "Excellent find!"

 wwu_archaeology.83.title: "Major Discovery: Phial of the Arcane Tempest"
 wwu_archaeology.83.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£arcane_phial_icon£\n\n\nLORE HERE"
 wwu_archaeology.83.option.a: "Excellent find!"

 wwu_archaeology.84.title: "Major Discovery: Vision of Demise"
 wwu_archaeology.84.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£vision_of_demise_icon£\n\n\nLORE HERE"
 wwu_archaeology.84.option.a: "Excellent find!"

 wwu_archaeology.85.title: "Major Discovery: Pearl of Pandaria"
 wwu_archaeology.85.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£pearl_of_pandaria_icon£\n\n\nLORE HERE"
 wwu_archaeology.85.option.a: "Excellent find!"

